provider	model_id	provider_model_dir	openrouter_model_id	openrouter_model_dir	missing_fields
aihubmix	baidu/ERNIE-4.5-300B-A47B	baidu-ernie-4-5-300b-a47b	baidu/ernie-4.5-300b-a47b	baidu-ernie-4-5-300b-a47b	limit.context,modalities.output
aihubmix	cohere-command-a	cohere-command-a	cohere/command-a	cohere-command-a	limit.context,modalities.output
aihubmix	google/gemma-2-27b-it	google-gemma-2-27b-it	google/gemma-2-27b-it	google-gemma-2-27b-it	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	google-gemma-3-12b-it	google-gemma-3-12b-it	google/gemma-3-12b-it	google-gemma-3-12b-it	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	google-gemma-3-27b-it	google-gemma-3-27b-it	google/gemma-3-27b-it	google-gemma-3-27b-it	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	google-gemma-3-4b-it	google-gemma-3-4b-it	google/gemma-3-4b-it	google-gemma-3-4b-it	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	Gryphe/MythoMax-L2-13b	gryphe-mythomax-l2-13b	gryphe/mythomax-l2-13b	gryphe-mythomax-l2-13b	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	meta-llama/llama-3.2-3b-instruct:free	meta-llama-llama-3-2-3b-instruct-free	meta-llama/llama-3.2-3b-instruct:free	meta-llama-llama-3-2-3b-instruct-free	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	nvidia-llama-3.3-nemotron-super-49b-v1.5	nvidia-llama-3-3-nemotron-super-49b-v1-5	nvidia/llama-3.3-nemotron-super-49b-v1.5	nvidia-llama-3-3-nemotron-super-49b-v1-5	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	nvidia-nemotron-3-nano-30b-a3b	nvidia-nemotron-3-nano-30b-a3b	nvidia/nemotron-3-nano-30b-a3b	nvidia-nemotron-3-nano-30b-a3b	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	nvidia-nemotron-3-super-120b-a12b	nvidia-nemotron-3-super-120b-a12b	nvidia/nemotron-3-super-120b-a12b	nvidia-nemotron-3-super-120b-a12b	modalities.output
aihubmix	nvidia-nemotron-nano-9b-v2	nvidia-nemotron-nano-9b-v2	nvidia/nemotron-nano-9b-v2	nvidia-nemotron-nano-9b-v2	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	Qwen/Qwen2.5-VL-72B-Instruct	qwen-qwen2-5-vl-72b-instruct	qwen/qwen2.5-vl-72b-instruct	qwen-qwen2-5-vl-72b-instruct	limit.context,modalities.output
aihubmix	Qwen/Qwen3-14B	qwen-qwen3-14b	qwen/qwen3-14b	qwen-qwen3-14b	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	Qwen/Qwen3-30B-A3B	qwen-qwen3-30b-a3b	qwen/qwen3-30b-a3b	qwen-qwen3-30b-a3b	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	Qwen/Qwen3-32B	qwen-qwen3-32b	qwen/qwen3-32b	qwen-qwen3-32b	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	Qwen/Qwen3-8B	qwen-qwen3-8b	qwen/qwen3-8b	qwen-qwen3-8b	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	tencent/Hunyuan-A13B-Instruct	tencent-hunyuan-a13b-instruct	tencent/hunyuan-a13b-instruct	tencent-hunyuan-a13b-instruct	limit.context,features.attachment,modalities.input,modalities.output
aihubmix	xiaomi-mimo-v2.5	xiaomi-mimo-v2-5	xiaomi/mimo-v2.5	xiaomi-mimo-v2-5	modalities.output
aihubmix	xiaomi-mimo-v2.5-pro	xiaomi-mimo-v2-5-pro	xiaomi/mimo-v2.5-pro	xiaomi-mimo-v2-5-pro	modalities.output
deepinfra	google/gemini-2.5-flash	google-gemini-2-5-flash	google/gemini-2.5-flash	google-gemini-2-5-flash	features.tool_call,modalities.input,modalities.output
deepinfra	google/gemini-2.5-pro	google-gemini-2-5-pro	google/gemini-2.5-pro	google-gemini-2-5-pro	features.tool_call,modalities.input,modalities.output
deepinfra	google/gemma-3-12b-it	google-gemma-3-12b-it	google/gemma-3-12b-it	google-gemma-3-12b-it	features.tool_call,modalities.input,modalities.output
deepinfra	google/gemma-3-27b-it	google-gemma-3-27b-it	google/gemma-3-27b-it	google-gemma-3-27b-it	features.tool_call,modalities.input,modalities.output
deepinfra	google/gemma-3-4b-it	google-gemma-3-4b-it	google/gemma-3-4b-it	google-gemma-3-4b-it	features.tool_call,modalities.input,modalities.output
deepinfra	google/gemma-4-26B-A4B-it	google-gemma-4-26b-a4b-it	google/gemma-4-26b-a4b-it	google-gemma-4-26b-a4b-it	features.tool_call,modalities.input,modalities.output
deepinfra	google/gemma-4-31B-it	google-gemma-4-31b-it	google/gemma-4-31b-it	google-gemma-4-31b-it	features.tool_call,modalities.input,modalities.output
deepinfra	Gryphe/MythoMax-L2-13b	gryphe-mythomax-l2-13b	gryphe/mythomax-l2-13b	gryphe-mythomax-l2-13b	features.tool_call,modalities.input,modalities.output
deepinfra	meta-llama/Llama-3.2-11B-Vision-Instruct	meta-llama-llama-3-2-11b-vision-instruct	meta-llama/llama-3.2-11b-vision-instruct	meta-llama-llama-3-2-11b-vision-instruct	features.tool_call,modalities.input,modalities.output
deepinfra	meta-llama/Llama-Guard-4-12B	meta-llama-llama-guard-4-12b	meta-llama/llama-guard-4-12b	meta-llama-llama-guard-4-12b	features.tool_call,modalities.input,modalities.output
deepinfra	microsoft/phi-4	microsoft-phi-4	microsoft/phi-4	microsoft-phi-4	features.tool_call,modalities.input,modalities.output
deepinfra	mistralai/Mistral-Small-24B-Instruct-2501	mistralai-mistral-small-24b-instruct-2501	mistralai/mistral-small-24b-instruct-2501	mistralai-mistral-small-24b-instruct-2501	features.tool_call,modalities.input,modalities.output
deepinfra	moonshotai/Kimi-K2.5	moonshotai-kimi-k2-5	moonshotai/kimi-k2.5	moonshotai-kimi-k2-5	features.tool_call,modalities.input,modalities.output
deepinfra	moonshotai/Kimi-K2.6	moonshotai-kimi-k2-6	moonshotai/kimi-k2.6	moonshotai-kimi-k2-6	features.tool_call,modalities.input,modalities.output
deepinfra	NousResearch/Hermes-3-Llama-3.1-405B	nousresearch-hermes-3-llama-3-1-405b	nousresearch/hermes-3-llama-3.1-405b	nousresearch-hermes-3-llama-3-1-405b	features.tool_call,modalities.input,modalities.output
deepinfra	NousResearch/Hermes-3-Llama-3.1-70B	nousresearch-hermes-3-llama-3-1-70b	nousresearch/hermes-3-llama-3.1-70b	nousresearch-hermes-3-llama-3-1-70b	features.tool_call,modalities.input,modalities.output
deepinfra	nvidia/Llama-3.3-Nemotron-Super-49B-v1.5	nvidia-llama-3-3-nemotron-super-49b-v1-5	nvidia/llama-3.3-nemotron-super-49b-v1.5	nvidia-llama-3-3-nemotron-super-49b-v1-5	features.tool_call,modalities.input,modalities.output
deepinfra	nvidia/Nemotron-3-Nano-30B-A3B	nvidia-nemotron-3-nano-30b-a3b	nvidia/nemotron-3-nano-30b-a3b	nvidia-nemotron-3-nano-30b-a3b	features.tool_call,modalities.input,modalities.output
deepinfra	openai/gpt-oss-120b	openai-gpt-oss-120b	openai/gpt-oss-120b	openai-gpt-oss-120b	features.tool_call,modalities.input,modalities.output
