provider`tmodels`tmissing_cells`tcompleteness_pct
aihubmix	794	2255	64.5
poe	382	759	75.16
moark	241	719	62.71
deepinfra	151	717	40.65
nvidia	127	714	29.72
togetherai	237	536	71.73
openai	130	447	57.02
modelscope	63	441	12.5
abacus	145	322	72.24
vercel	276	315	85.73
fireworks-ai	256	247	87.94
cortecs	102	204	75
tetrate	194	204	86.86
google	51	195	52.21
berget	67	144	73.13
zenmux	137	143	86.95
github-models	43	131	61.92
xai	63	126	75
alibaba-cn	83	125	81.17
ollama-cloud	39	120	61.54
huggingface	118	110	88.35
ovhcloud	21	89	47.02
github-copilot	29	67	71.12
mistral	63	65	87.1
fastrouter	170	58	95.74
io-net	26	52	75
cohere	20	48	70
avian	8	32	50
perplexity	23	30	83.7
friendli	8	24	62.5
groq	16	21	83.59
nano-gpt	597	14	99.71
302ai	644	12	99.77
chutes	28	12	94.64
kilo	354	10	99.65
anthropic	9	9	87.5
openrouter	365	6	99.79
deepseek	2	2	87.5
llmgateway	200	2	99.88
abliteration-ai	1	0	100
baseten	9	0	100
cerebras	4	0	100
helicone	111	0	100
inception	5	0	100
jiekou	125	0	100
novita	101	0	100
requesty	473	0	100
synthetic	17	0	100
venice	75	0	100
wandb	23	0	100
